course,year,semester,code,name
BECO,2,1,BMAT 2109,LINEAR ALGEBRA
BECO,2,1,BMAT 2111,CALCULUS II
BECO,2,1,BSTA 2104,PROBABILITY AND STATISTICS II
BECO,3,1,BAEM 2129,AGRICULTURAL ECONOMICS
BECO,3,1,BECO 2111,DEVELOPMENT ECONOMICS
BECO,3,1,BECO 3110,INTERNATIONAL ECONOMICS
BECO,3,1,BECO 4107,LABOUR ECONOMICS
BECO,3,1,BMAT 2105,MANAGEMENT MATHEMATICS II
BECO,4,1,BBCU 4101,RESEARCH PROJECT 1
BECO,4,1,BECO 4101,ENVIRONMENTAL ECONOMICS
BECO,4,1,BECO 4102,HEALTH ECONOMICS
BECO,4,1,BECO 4103,MONETARY ECONOMICS
BECO,4,1,BECO 4104,ECONOMETRICS 1
BEEP,1,1,BCIT 1103,COMPUTER APPLICATIONS
BEEP,1,1,BECO 1102,INTRODUCTION TO MICROECONOMICS
BEEP,1,1,BECO 1104,MATHEMATICS FOR ECONOMISTS I
BEEP,1,1,BEEP 1101,INTRODUCTION TO ENVIRONMENTAL SCIENCE
BEEP,1,1,BUCU 1101,COMMUNICATION SKILLS
